;coordinate_coppia;valore
1;[(45.477330, 9.225176),(45.502533, 9.155232)];10
2;[(45.478551, 9.232402),(45.477330, 9.225176)];1
3;[(43.716915, 10.398866),(43.720230, 10.383275)];4
4;[(39.220796, 9.113850),(39.217158, 9.114972)];2
5;[(39.217687, 9.115015),(39.217158, 9.114972)];2
6;[(39.220796, 9.113850),(39.217687, 9.115015)];2
7;[(45.647395, 9.598243),(45.459973, 9.194620)];5
8;[(43.720628, 10.407392),(43.716915, 10.398866)];3
9;[(45.459973, 9.194620),(45.478551, 9.232402)];2
10;[(45.459973, 9.194620),(43.716915, 10.398866)];1
11;[(46.065865, 13.232450),(45.459410, 9.193520)];2
